PID,Operator,LeftOperand,RightOperand,Result
1,18,-1,-1,17
17,23,-1,28003,-1
18,29,-1,-1,16000
19,0,-1,16000,4002
20,23,-1,28004,-1
21,29,-1,-1,16001
22,0,-1,16001,4000
23,20,-1,-1,0
24,21,4002,-1,35002
25,21,4000,-1,35001
26,21,28005,-1,35000
27,19,-1,-1,0
2,1,35002,35001,43000
3,30,-1,-1,43000
4,31,-1,-1,32000
5,8,35000,28000,46000
6,8,35000,28001,46001
7,8,35000,28002,46002
8,30,-1,-1,46000
9,30,-1,-1,46001
10,30,-1,-1,46002
11,35,-1,-1,32000
12,1,35002,35000,43001
13,1,43001,35001,43002
14,30,-1,-1,43002
15,32,-1,-1,32000
16,22,-1,-1,-1
28,20,-1,-1,0
29,21,4002,-1,35002
30,21,4000,-1,35001
31,21,28006,-1,35000
32,19,-1,-1,0
2,1,35002,35001,43000
3,30,-1,-1,43000
4,31,-1,-1,32000
5,8,35000,28000,46000
6,8,35000,28001,46001
7,8,35000,28002,46002
8,30,-1,-1,46000
9,30,-1,-1,46001
10,30,-1,-1,46002
11,35,-1,-1,32000
12,1,35002,35000,43001
13,1,43001,35001,43002
14,30,-1,-1,43002
15,32,-1,-1,32000
16,22,-1,-1,-1
33,20,-1,-1,0
34,21,4002,-1,35002
35,21,4000,-1,35001
36,21,28007,-1,35000
37,19,-1,-1,0
2,1,35002,35001,43000
3,30,-1,-1,43000
4,31,-1,-1,32000
5,8,35000,28000,46000
6,8,35000,28001,46001
7,8,35000,28002,46002
8,30,-1,-1,46000
9,30,-1,-1,46001
10,30,-1,-1,46002
11,35,-1,-1,32000
12,1,35002,35000,43001
13,1,43001,35001,43002
14,30,-1,-1,43002
15,32,-1,-1,32000
16,22,-1,-1,-1
38,25,-1,-1,-1
